Order ID,Customer Name,Gender,City,Address,Product Details (Brand),Product Price (Taka),Devivery Charge,Total Bill (Taka),Phone Number
1,Fatima Aisha,Female,Chittagong,"B4; Lavinia, 30 mehedibag,Chittagong",Faraz Manan,90000,120,90120,018-225-41900
2,Nafisa Tasneem,Female,Sylhet,"Azadi111 mirboxtulla,Sylhet",Khaadi,5990,120,6110,019-518-69097
3,Parvin Sultana Popy,Female,Gazipur,"Ershadnogor,Tongi,Gazipur",Mushq,6890,120,7010,018-599-88102
4,Mimi Jahan,Female,Gazipur,"House #12, Road #2, Gazipur Sadar, Gazipur",Sana Safinaz,10590,120,10710,017-505-79104
5,Suchi Islam,Female,Kushtia,"Plot #6, Kumarkhali, Kushtia",Maria B.,7500,120,7620,013-834-21041
6,Bi Pa Sha,Female,Kushtia,"Flat #2, Building #9, Daulatpur, Kushtia",Sana Safinaz,10590,120,10710,019-222-40689
7,Mowmita Nipu,Female,Chittagong,"Masterpul boubazar, beside khaja hotel,suborna Abasik,Chittagong",Mushq,6890,120,7010,019-271-21906
8,Shanjida Afrin Tisha,Female,Chittagong,"Plot #3, GEC Circle, GEC, Chittagong",Mushq,6890,120,7010,019-462-21503
9,Sarah Nitu,Female,Rajshahi,"House #17, Road #12, Boalia, Rajshahi",Sapphire,7180,120,7300,016-111-30073
10,Bonna Ferdous,Female,Dhaka,"Road 5A, Sector 5, House 14(Shamoli housing),Uttara",Faraz Manan,90000,70,90070,019-741-59097
11,Meherun Nesa Kashpi,Female,Dhaka,"Beside jamal becery, Zinzira bazar, keranigong dhaka",Khaadi,5990,70,6060,018-956-75021
12,Arjumanara Sharkar,Female,Cox's Bazar,"Khalil fakir road,peshkar parar, cox's bazar sadar",Faraz Manan,90000,120,90120,013-817-46800
13,Bonna Alam,Female,Dinajpur,"House #2, Lane #8, Dinajpur Sadar, Dinajpur",Amir Adnan,9550,120,9670,013-800-29076
14,Zeba Rahman,Female,Dhaka,"19/D, Uttara Bhaban, Uttar, Tolarbag,Mirpur - 1, Dhaka -1216",Faraz Manan,90000,70,90070,017-650-83064
15,Sawariya Samanna,Female,Dhaka,"Azimpur chapra,Mashjid anondho bhaban A2",Khaadi,5990,70,6060,016-500-58084
16,Atiya Hussain,Female,Dhaka,"Basundhara, B block, road 8, Bari number 70",Sana Safinaz,10590,70,10660,019-861-61096
17,Safayet Hossain,Male,Dhaka,"House 13 road 3/a ,sector 15,Uttara Dhaka 1230",Sana Safinaz,10590,70,10660,013-973-42044
18,Faiza Afrin,Female,Chittagong,"House #21, Road #6, Jamal Khan, Chittagong",Mushq,6890,120,7010,018-771-20495
19,Md Walid,Male,Chittagong,"Mirjerpool , Panchlaish,Design Foyez Manor,Flat/A7, Chittagong",Celina,5599,120,5719,019-743-99071
20,Moumita mou,Female,Bogura,"Apartment #6, Block #Q, Shibganj, Bogura",Celina,5599,120,5719,018-505-80024
21,Md Mofakkharul Islam,Male,Dhaka,"House #15, Lane #4, Mirpur, Dhaka",Ethnic,6500,70,6570,017-613-67081
22,Meeftahul Mou,Female,Comilla,"Brac Cold Storage,New ferighat,Daudkandi,Comilla",Khaadi,5990,120,6110,015-386-40103
23,Hamidi Mim,Female,Khulna,"House-43,(Flat-6B), Road-05,1st Phase,Shonadanga R/A, Khulna",Khaadi,5990,120,6110,016-120-76738
24,Nur Nahar,Female,Dhaka,"DFL dream house-5,Road:10,Bhutta chattar,New Town,Matuail,Dhaka",Khaadi,5990,70,6060,017-425-57754
25,Sumaira Rahman,Female,Dhaka,"60 fit pirerbag, amtola bazar,250 dofarce bilders, Dhaka",Khaadi,5990,70,6060,017-167-61274
26,FA Tamanna,Female,Comilla,"518, Akhi vila,thakurpara baganbari, Comilla",Amir Adnan,9550,120,9670,013-866-27674
27,Ondrila Das,Female,Chittagong,"House #9, Lane #2, Panchlaish, Chittagong",Sana Safinaz,10590,120,10710,019-652-72843
28,Nusrat Jahan Nisu,Female,Dhaka,"Rohomotpur,zinzira,keranigonj,dha ka",Khaadi,5990,70,6060,016-476-76782
29,Ayman Zarif,Male,Cox's Bazar,"House #3, Lane #7, Coxs Bazar Sadar, Coxs Bazar",Celina,5599,120,5719,013-633-21625
30,Sanjida Bina,Female,Dhaka,"Flat #3A, Building #9, Dhanmondi, Dhaka",Sana Safinaz,10590,70,10660,018-101-16595
31,Sp Sultana,Female,Dinajpur,"House #16, Road #6, Khansama, Dinajpur",Sana Safinaz,10590,120,10710,013-222-77473
32,Zoha Zoha,Female,Mymensingh,"House #18, Road #9, Muktagacha, Mymensingh",Sapphire,7180,120,7300,017-183-86432
33,Fabiha Akter,Female,Chittagong,"Flat #8, Building #7, Agrabad, Chittagong",Ethnic,6500,120,6620,013-793-34530
34,Puja Barua,Female,Barisal,"Flat #5, Building #4, Muladi, Barisal",Sana Safinaz,10590,120,10710,017-473-77941
35,Nawreen Afreen Urmi,Female,Chittagong,"Masterpul boubazar, beside khaja hotel, Suborna Abasik,Chittag ong",Baroque,7560,120,7680,017-729-66472
36,Alika Ormim,Female,Rangpur,"Apartment #7, Block #G, Pirgacha, Rangpur",Sana Safinaz,10590,120,10710,017-892-54308
37,Rumki Faria,Female,Rajshahi,"House #4, Lane #7, Motihar, Rajshahi",Baroque,7560,120,7680,015-357-11854
38,Saima Haider,Female,Dhaka,"Chalabon hazi para,house 51, Uttara dhaka 1230",Sana Safinaz,10590,70,10660,018-779-13280
39,Mohammad Jamir Uddin,Male,Dhaka,"Flat-B7, 832,Ibrahimpur bazar road, Kafrul, Dhaka.",Sana Safinaz,10590,70,10660,018-484-38651
40,Fazilatun Nesa Nipo,Female,Dhaka,"Flat #3A, Building #9, Dhanmondi, Dhaka",Celina,5599,70,5669,017-488-40875
41,Tania Sultana Tumpa,Female,Comilla,"Plot #12, Brahmanpara, Comilla",Khaadi,5990,120,6110,015-711-34826
42,Fatima Tuz Zohra,Female,Dhaka,"Apartment #12, Block #C, Banani, Dhaka",Sapphire,7180,70,7250,017-172-96790
43,Muhammad Sammar,Male,Narayanganj,"House #14, Road #7, Araihazar, Narayanganj",Faraz Manan,90000,120,90120,015-139-51006
44,Tazin Rahman,Male,Dhaka,"D block, road 5, house 76,Bashundhara R/A",Maria B.,7500,70,7570,019-4969-3291
45,Meherin Hossain Usmi,Female,Dhaka,"Mashuda villa, 38,Kalabagan,Dhaka",Celina,5599,70,5669,015-279-94859
46,Nusrat Yasmin,Female,Dhaka,"Apartment #12, Block #C, Banani, Dhaka",Sana Safinaz,10590,70,10660,019-481-97975
47,Borsha Anam Choudhury,Female,Sylhet,"34/A moushumi agpara mirabazar,Sylhet",Faraz Manan,90000,120,90120,018-605-78373
48,Sultana Rabu,Female,Dhaka,"Flat #3A, Building #9, Dhanmondi, Dhaka",Amir Adnan,9550,70,9620,016-397-28070
49,Sanjida Akter ,Female,Narsingdi,"Apartment #12, Block #O, Belabo, Narsingdi",Sana Safinaz,10590,120,10710,015-444-49042
50,Jahid Hasan,Male,Dhaka,"6/7ka champatuli,lane swarighat,chawkbazar,Dhaka",Sapphire,7180,70,7250,017-144-38043
51,Jakia Sultana Sharna,Female,Dhaka,"House 1083,Road 6/A,Avenue 8,Mirpur DOHS",Sana Safinaz,10590,70,10660,015-969-61003
